date,samplesize_RV,rawpoll_clinton_RV,samplesize_LV,rawpoll_clinton_LV
2016-09-28,461.7142857142857,36.53333333333333,29262.16567591492,41.54232876712329
2016-09-29,461.7142857142857,36.53333333333333,27291.82112463287,41.438721461187214
2016-09-30,461.7142857142857,36.53333333333333,25409.03779129953,41.75666666666667
2016-10-01,875.297619047619,39.1,24314.549696061436,41.73718309859155
2016-10-02,875.297619047619,39.1,25582.568743680487,41.85579908675799
2016-10-03,2984.8690476190477,43.18,24077.340172251916,41.60783653846154
2016-10-04,4162.535714285714,45.15,29897.44786260078,41.22505791505791
2016-10-05,368.5357142857143,44.45,32485.662148315067,41.20509505703422
2016-10-06,368.5357142857143,44.45,31962.816910219826,41.2285
2016-10-07,854.0357142857142,44.300000000000004,31248.094687997607,41.31752895752896
2016-10-08,854.0357142857142,44.300000000000004,34080.35183085475,41.441058394160585
2016-10-09,258.2857142857143,46.0,34690.22802133094,41.47838129496403
2016-10-10,258.2857142857143,46.0,44017.1208784738,41.50940199335548
2016-10-11,759.6666666666666,42.0,45942.237545140466,41.52957516339869
2016-10-12,1519.6666666666665,44.25,40249.837545140464,41.49617940199336
2016-10-13,1519.6666666666665,44.25,38867.10421180713,41.56623333333334
2016-10-14,434.0,40.333333333333336,36844.51106336474,41.61832740213523
2016-10-15,665.25,40.75,36820.781139122315,41.59602150537635
2016-10-16,505.25,41.666666666666664,36214.66288515406,41.616570397111914
2016-10-17,505.25,41.666666666666664,44550.809710550886,41.63673780487805
2016-10-18,378.25,45.5,52739.398996265176,41.82973890339426
2016-10-20,880.5833333333333,48.0,64314.85531494649,42.2375321888412
2016-10-21,880.5833333333333,48.0,63832.16190835308,42.29319383259912
2016-10-22,1212.5833333333333,43.5,65014.91984486102,42.45794759825328
2016-10-23,1212.5833333333333,43.5,63221.5051262463,42.28393162393163
2016-10-24,685.3333333333333,41.333333333333336,72490.91941196058,42.462835538752365
2016-10-25,4191.166666666667,46.285714285714285,77395.72179291297,42.47432013769363
2016-10-26,2962.833333333333,46.4,79439.47615799234,42.52073253833049
2016-10-27,763.8333333333333,44.5,81068.02853894471,42.59175585284281
2016-10-28,536.1666666666666,47.0,88246.57734846852,42.77661858974359
2016-10-29,536.1666666666666,47.0,90488.20115799233,42.78200642054574
2016-10-30,1381.1666666666665,38.333333333333336,111313.79520561139,42.879352517985616
2016-10-31,10006.0,42.0,103900.86584053202,42.78345736434109
2016-11-01,5117.75,44.4,121635.8301262463,42.857121212121214
2016-11-02,5380.75,45.0,107725.2845218507,42.69787931034483
2016-11-03,9236.0,45.333333333333336,88820.38074229693,42.5318410041841
2016-11-04,9236.0,45.333333333333336,74767.95693277312,42.33741935483871
2016-11-05,7917.25,45.09090909090909,60660.24026610644,41.96434640522876
2016-11-06,7917.25,45.09090909090909,67605.99502801121,41.983071672354946
2016-10-19,,,50856.63947245565,41.771856763925726
2016-11-07,,,20886.47619047619,40.230000000000004
