cluster,avg_C0,avg_arrival_rate,est_service_rate,arrival_rate_per_server,service_rate_per_server
Weekday - 0:00 - 4:00,,,,,
Weekday - 4:00 - 8:00,1.8299271993684765,0.7308333333333333,0.848,0.3993783652079439,0.46340641326750703
Weekday - 8:00 - 12:00,1.3071217511909787,1.0630128205128204,1.197,0.8132469829564541,0.9157524912345452
Weekday - 12:00 - 16:00,1.2721013830500214,1.0521153846153846,1.218,0.8270688159247237,0.9574708558839023
Weekday - 16:00 - 20:00,1.4371215238991122,1.0903205128205127,1.289,0.7586835870792056,0.8969318033055146
Weekday - 20:00 - 0:00,1.0301204819277108,0.07448717948717949,0.218,0.07230919178287601,0.21162573099415205
Weekend - 0:00 - 4:00,,,,,
Weekend - 4:00 - 8:00,1.820351486222608,0.7112654320987654,0.849,0.39072972306832054,0.4663934445768772
Weekend - 8:00 - 12:00,1.1766446223459799,0.8867283950617284,1.049,0.7536076553800756,0.8915181186215055
Weekend - 12:00 - 16:00,1.2328983220995267,1.0760802469135802,1.245,0.8728053462519944,1.0098156333604746
Weekend - 16:00 - 20:00,1.5310210063507572,1.2635802469135802,1.428,0.8253186871193677,0.9327109125717932
Weekend - 20:00 - 0:00,1.0,0.0685185185185185,0.203,0.0685185185185185,0.203
