cluster,hour_cluster,avg_servers,arrival_rate,est_serv_rate,arr_rate/server,serv_rate/server
1 - WEEKDAY,4:00 - 8:00,1.81,43.85,43.987,24.227,24.302
1 - WEEKDAY,8:00 - 12:00,1.19,63.78,63.932,53.597,53.724
1 - WEEKDAY,12:00 - 16:00,1.24,63.13,63.324,50.911,51.068
1 - WEEKDAY,16:00 - 20:00,1.27,65.42,65.657,51.512,51.698
1 - WEEKDAY,20:00 - 0:00,1.02,4.47,4.847,4.382,4.752
2 - WEEKEND,4:00 - 8:00,1.79,42.69,42.856,23.849,23.942
2 - WEEKEND,8:00 - 12:00,1.12,53.2,53.393,47.5,47.672
2 - WEEKEND,12:00 - 16:00,1.22,64.56,64.757,52.918,53.08
2 - WEEKEND,16:00 - 20:00,1.33,75.81,76.007,57.0,57.148
2 - WEEKEND,20:00 - 0:00,1.0,4.11,4.484,4.11,4.484
