cluster,hour_cluster,class,arrival_rate,reg_serv_rate,reg_rho,5m,10m,15m,20m,25m,30m
1 - WEEKDAY,4:00 - 8:00,24.2,43.85,44.25935878,0.991,0.8720462013320232,0.9834749840514162,0.997865822234715,0.9997243745635097,0.999964403442639,0.9999954027650275
1 - WEEKDAY,8:00 - 12:00,53.6,63.78,63.940370660000006,0.997,0.5526278941195717,0.7993549553439053,0.9100113006245268,0.9596403388423114,0.9818988132946901,0.991881672176079
1 - WEEKDAY,12:00 - 16:00,50.9,63.13,63.30747136,0.997,0.589411614220016,0.8309432566200661,0.9303921312144867,0.9713394727711504,0.9881992390319155,0.995141123597835
1 - WEEKDAY,16:00 - 20:00,51.5,65.42,65.59939162,0.997,0.5933069275234031,0.8341471948096768,0.9323638516338826,0.972417418200712,0.9887515945675059,0.9954128070499539
1 - WEEKDAY,20:00 - 0:00,4.4,4.47,4.76367852,0.938,0.7839022353296516,0.9502336864951195,0.9885390486863935,0.9973605960385236,0.9993921575023544,0.9998600166903828
2 - WEEKEND,4:00 - 8:00,23.8,42.69,43.09693754,0.991,0.8705130194330185,0.9830732935164387,0.9977873189171136,0.9997107554514921,0.9999621895764877,0.9999950573722701
2 - WEEKEND,8:00 - 12:00,47.5,53.2,53.37218656,0.997,0.5785963697835823,0.821844223581792,0.9246815205296778,0.968157791659785,0.9865381478873165,0.9943087658881095
2 - WEEKEND,12:00 - 16:00,52.9,64.56,64.72699004,0.997,0.5672233254879295,0.8122198935533289,0.9185229462357735,0.9646474250349625,0.9846606559894127,0.9933443186272048
2 - WEEKEND,16:00 - 20:00,57.0,75.81,75.97515142,0.998,0.5630485645505192,0.8086575112291359,0.9162104869357701,0.9633082931833915,0.9839325793899298,0.9929640230052189
2 - WEEKEND,20:00 - 0:00,4.1,4.11,4.398767680000001,0.934,0.7794740271791186,0.9479514426259121,0.9877154954127598,0.997100610265347,0.9993156858077824,0.9998384881107657
