cluster,hour_cluster,class,reg_serv_rate,reg_rho,5m,10m,15m,20m,25m,30m
1 - WEEKDAY,4:00 - 8:00,19.4,35.294,0.988,88.14%,98.58%,99.83%,99.98%,100.0%,100.0%
1 - WEEKDAY,8:00 - 12:00,41.1,47.858,0.996,59.09%,83.2%,93.1%,97.17%,98.84%,99.52%
1 - WEEKDAY,12:00 - 16:00,41.4,50.294,0.996,60.29%,84.18%,93.69%,97.49%,99.0%,99.6%
1 - WEEKDAY,16:00 - 20:00,39.5,48.364,0.996,62.24%,85.69%,94.57%,97.94%,99.22%,99.7%
1 - WEEKDAY,20:00 - 0:00,3.5,3.848,0.923,79.21%,95.31%,98.94%,99.76%,99.95%,99.99%
2 - WEEKEND,4:00 - 8:00,19.5,34.359,0.988,87.22%,98.35%,99.79%,99.97%,100.0%,100.0%
2 - WEEKEND,8:00 - 12:00,38.6,42.649,0.996,59.31%,83.37%,93.21%,97.22%,98.87%,99.54%
2 - WEEKEND,12:00 - 16:00,45.3,54.103,0.997,55.87%,80.47%,91.35%,96.17%,98.31%,99.25%
2 - WEEKEND,16:00 - 20:00,45.3,58.146,0.997,58.65%,82.85%,92.89%,97.05%,98.78%,99.49%
2 - WEEKEND,20:00 - 0:00,3.6,3.855,0.923,78.87%,95.17%,98.89%,99.75%,99.94%,99.99%
